season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage,performance_score
2023-24,Alec Burks,202692,12,28.0,25.0,2.0,0.583,39.583
2023-24,Alec Burks,202692,18,26.5,22.0,2.0,0.6234999999999999,42.6235
2023-24,Alec Burks,202692,19,25.0,18.0,0.0,0.5,37.5
2023-24,Alec Burks,202692,24,29.0,33.0,6.0,0.45,63.45
2023-24,Alec Burks,202692,28,30.0,24.0,2.0,0.5,54.5
2023-24,Aleksej Pokusevski,1630197,-29,24.0,9.0,4.0,0.5,-15.5
2023-24,Aleksej Pokusevski,1630197,-12,27.0,3.0,1.0,0.2,-7.8
2023-24,Aleksej Pokusevski,1630197,-6,20.0,8.0,1.5,0.3095,3.8095
2023-24,Aleksej Pokusevski,1630197,-2,22.0,10.0,1.0,1.0,10.0
2023-24,Aleksej Pokusevski,1630197,5,25.0,10.0,1.0,0.5,16.5
2023-24,Aleksej Pokusevski,1630197,10,26.0,9.0,3.0,0.8,22.8
2023-24,Aleksej Pokusevski,1630197,27,20.0,14.0,0.0,0.667,41.667
2023-24,Alex Caruso,1627936,-26,32.0,6.0,5.0,0.4,-14.6
2023-24,Alex Caruso,1627936,-25,35.0,17.0,6.0,0.385,-1.6149999999999984
2023-24,Alex Caruso,1627936,-21,26.0,13.0,3.0,0.4,-4.600000000000001
2023-24,Alex Caruso,1627936,-17,32.0,8.0,3.0,0.231,-5.769
2023-24,Alex Caruso,1627936,-16,24.0,6.5,3.5,0.5,-5.5
2023-24,Alex Caruso,1627936,-15,33.0,13.5,3.0,0.40900000000000003,1.908999999999999
2023-24,Alex Caruso,1627936,-12,26.333333333333332,8.666666666666666,3.0,0.39633333333333337,0.06299999999999883
2023-24,Alex Caruso,1627936,-11,34.0,11.0,4.5,0.478,4.978
2023-24,Alex Caruso,1627936,-10,34.5,9.5,3.5,0.4365,3.4365000000000006
2023-24,Alex Caruso,1627936,-9,27.0,7.5,3.25,0.35275,2.1027500000000003
2023-24,Alex Caruso,1627936,-8,36.0,11.0,6.0,0.5625,9.5625
2023-24,Alex Caruso,1627936,-7,25.0,10.0,3.0,0.5,6.5
2023-24,Alex Caruso,1627936,-6,29.0,10.666666666666666,3.6666666666666665,0.48133333333333334,8.814666666666666
2023-24,Alex Caruso,1627936,-5,24.5,9.0,1.0,0.4585,5.458500000000001
2023-24,Alex Caruso,1627936,-4,30.0,12.0,2.0,0.571,10.571
2023-24,Alex Caruso,1627936,-2,30.5,10.0,1.5,0.548,10.048
2023-24,Alex Caruso,1627936,0,29.333333333333332,8.666666666666666,3.6666666666666665,0.35833333333333334,12.691666666666665
2023-24,Alex Caruso,1627936,1,35.5,9.0,5.0,0.4365,15.4365
2023-24,Alex Caruso,1627936,3,28.0,10.5,4.5,0.4335,18.433500000000002
2023-24,Alex Caruso,1627936,4,33.0,2.0,7.0,0.1,13.1
2023-24,Alex Caruso,1627936,5,28.0,6.5,2.0,0.3255,13.8255
2023-24,Alex Caruso,1627936,6,30.0,14.5,4.0,0.7375,25.2375
2023-24,Alex Caruso,1627936,7,26.333333333333332,15.0,1.6666666666666667,0.6266666666666666,24.293333333333333
2023-24,Alex Caruso,1627936,8,33.0,12.0,5.0,0.5,25.5
2023-24,Alex Caruso,1627936,9,31.0,12.0,2.0,0.385,23.384999999999998
2023-24,Alex Caruso,1627936,10,21.0,8.0,3.0,0.667,21.667
2023-24,Alex Caruso,1627936,11,33.0,10.0,3.0,0.571,24.570999999999998
2023-24,Alex Caruso,1627936,12,34.0,16.0,5.0,0.583,33.583
2023-24,Alex Caruso,1627936,14,32.0,15.0,3.0,0.417,32.417
2023-24,Alex Caruso,1627936,15,27.0,15.0,2.0,0.714,32.714
2023-24,Alex Caruso,1627936,16,20.0,10.0,3.0,1.0,30.0
2023-24,Alex Caruso,1627936,17,33.5,8.0,4.5,0.44299999999999995,29.942999999999998
2023-24,Alex Caruso,1627936,18,27.5,9.0,2.5,0.5625,30.0625
2023-24,Alex Caruso,1627936,19,31.5,8.5,5.5,0.38549999999999995,33.3855
2023-24,Alex Caruso,1627936,22,36.0,23.0,7.0,0.692,52.692
2023-24,Alex Caruso,1627936,23,30.5,10.0,8.5,0.5,42.0
2023-24,Alex Caruso,1627936,24,30.0,19.0,2.0,0.778,45.778
2023-24,Alex Caruso,1627936,29,31.0,13.0,2.0,0.556,44.556
2023-24,Alperen Sengun,1630578,-21,20.0,7.0,1.0,0.429,-12.571
2023-24,Alperen Sengun,1630578,-19,28.0,22.0,4.0,0.556,7.556000000000001
2023-24,Alperen Sengun,1630578,-17,28.0,15.5,4.0,0.4365,2.9364999999999988
2023-24,Alperen Sengun,1630578,-16,36.0,18.5,3.0,0.4545,5.9544999999999995
2023-24,Alperen Sengun,1630578,-15,27.0,20.0,2.0,0.667,7.667000000000002
2023-24,Alperen Sengun,1630578,-14,27.0,17.0,2.0,0.4855,5.485499999999998
2023-24,Alperen Sengun,1630578,-12,36.0,24.0,10.0,0.556,22.555999999999997
2023-24,Alperen Sengun,1630578,-11,31.5,23.5,3.5,0.5575,16.5575
2023-24,Alperen Sengun,1630578,-10,28.75,16.0,4.0,0.475,10.475000000000001
2023-24,Alperen Sengun,1630578,-9,39.0,30.0,8.0,0.647,29.647
2023-24,Alperen Sengun,1630578,-8,37.2,29.2,5.4,0.5464,27.1464
2023-24,Alperen Sengun,1630578,-7,28.5,17.5,3.5,0.49750000000000005,14.497499999999999
2023-24,Alperen Sengun,1630578,-6,34.0,19.333333333333332,5.666666666666667,0.47333333333333333,19.473333333333333
2023-24,Alperen Sengun,1630578,-5,33.0,10.0,5.0,0.364,10.364
2023-24,Alperen Sengun,1630578,-4,33.0,21.0,5.0,0.526,22.526
2023-24,Alperen Sengun,1630578,-3,31.5,24.0,4.5,0.6415,26.1415
2023-24,Alperen Sengun,1630578,-2,33.0,25.5,6.0,0.5345,30.0345
2023-24,Alperen Sengun,1630578,0,31.0,21.0,4.0,0.333,25.333
2023-24,Alperen Sengun,1630578,1,31.0,15.0,1.0,0.333,17.333
2023-24,Alperen Sengun,1630578,2,36.5,21.0,10.0,0.49650000000000005,33.4965
2023-24,Alperen Sengun,1630578,5,29.0,14.0,2.0,0.5,21.5
2023-24,Alperen Sengun,1630578,6,35.0,23.5,4.5,0.4825,34.4825
2023-24,Alperen Sengun,1630578,8,35.0,20.0,6.0,0.467,34.467
2023-24,Alperen Sengun,1630578,9,27.0,19.0,4.0,0.75,32.75
2023-24,Alperen Sengun,1630578,10,33.5,22.0,2.5,0.5660000000000001,35.066
2023-24,Alperen Sengun,1630578,11,33.0,17.0,7.0,0.5,35.5
2023-24,Alperen Sengun,1630578,12,37.0,23.333333333333332,7.666666666666667,0.5953333333333334,43.59533333333333
2023-24,Alperen Sengun,1630578,15,39.0,31.0,7.0,0.609,53.609
2023-24,Alperen Sengun,1630578,16,32.0,21.0,2.0,0.429,39.429
2023-24,Alperen Sengun,1630578,17,33.0,30.0,4.0,0.647,51.647
2023-24,Alperen Sengun,1630578,18,28.666666666666668,25.0,4.666666666666667,0.7026666666666667,48.36933333333333
2023-24,Alperen Sengun,1630578,20,27.0,26.0,9.0,0.692,55.692
2023-24,Alperen Sengun,1630578,21,30.5,17.0,4.0,0.566,42.566
2023-24,Alperen Sengun,1630578,23,28.0,24.0,8.0,0.714,55.714
2023-24,Alperen Sengun,1630578,27,34.0,15.0,6.0,0.538,48.538
2023-24,Alperen Sengun,1630578,30,24.5,19.5,7.5,0.6025,57.6025
2023-24,Amari Bailey,1641735,17,21.0,11.0,5.0,0.4,33.4
2023-24,Amen Thompson,1641708,-34,21.0,8.0,2.0,0.3,-23.7
2023-24,Amen Thompson,1641708,-15,28.5,10.5,3.5,0.522,-0.47799999999999976
2023-24,Amen Thompson,1641708,-14,22.0,9.0,2.0,0.3375,-2.6624999999999996
2023-24,Amen Thompson,1641708,-13,33.0,19.0,2.0,0.529,8.529
2023-24,Amen Thompson,1641708,-11,31.0,8.0,4.0,0.8,1.8000000000000007
2023-24,Amen Thompson,1641708,-10,25.0,7.0,1.0,0.3145,-1.6854999999999993
2023-24,Amen Thompson,1641708,-8,31.0,15.0,5.0,0.5,12.5
2023-24,Amen Thompson,1641708,-7,33.0,13.0,6.0,0.5,12.5
2023-24,Amen Thompson,1641708,-5,32.5,15.0,4.5,0.746,15.245999999999999
2023-24,Amen Thompson,1641708,-3,21.0,8.0,3.0,0.6813333333333333,8.681333333333333
2023-24,Amen Thompson,1641708,-1,35.0,15.0,4.0,0.5,18.5
2023-24,Amen Thompson,1641708,0,27.0,13.5,2.5,0.528,16.528
2023-24,Amen Thompson,1641708,1,37.0,13.0,4.0,0.857,18.857
2023-24,Amen Thompson,1641708,7,30.0,4.0,6.0,0.222,17.222
2023-24,Amen Thompson,1641708,10,33.0,18.5,5.0,0.6945,34.194500000000005
2023-24,Amen Thompson,1641708,11,40.0,18.0,5.0,0.5,34.5
2023-24,Amen Thompson,1641708,12,39.0,18.0,10.0,0.889,40.888999999999996
2023-24,Amen Thompson,1641708,13,26.0,18.0,0.0,0.727,31.727
2023-24,Amen Thompson,1641708,14,33.0,15.0,2.0,0.545,31.545
2023-24,Amen Thompson,1641708,15,35.0,17.0,6.0,0.5,38.5
2023-24,Amen Thompson,1641708,24,26.5,18.0,3.5,0.725,46.225
2023-24,Amen Thompson,1641708,25,22.0,13.0,8.0,0.667,46.667
2023-24,Amen Thompson,1641708,27,24.0,19.0,4.0,0.818,50.818
2023-24,Amen Thompson,1641708,32,32.0,25.0,2.0,0.833,59.833
2023-24,Amir Coffey,1629599,-22,28.0,8.0,3.0,0.375,-10.625
2023-24,Amir Coffey,1629599,-18,28.333333333333332,8.0,1.3333333333333333,0.425,-8.241666666666665
2023-24,Amir Coffey,1629599,-17,26.0,4.0,1.0,0.333,-11.667
2023-24,Amir Coffey,1629599,-16,23.0,2.0,1.0,0.333,-12.667
2023-24,Amir Coffey,1629599,-14,21.0,8.0,3.0,0.6,-2.4000000000000004
