SEASON_YEAR,GAME_DATE,GAME_ID,TEAM_ID,TEAM_NAME,WL,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,TOV,STL,PLUS_MINUS
2022-23,2022-11-12T00:00:00,22200189,1610612748,Miami Heat,W,41,0.39,21,0.857,46,32,12.0,7,17.0
2022-23,2023-01-30T00:00:00,22200757,1610612751,Brooklyn Nets,W,41,0.39,19,0.789,50,24,11.0,8,17.0
2022-23,2023-02-02T00:00:00,22200783,1610612743,Denver Nuggets,W,35,0.457,21,0.762,38,35,13.0,10,17.0
2022-23,2023-01-06T00:00:00,22200590,1610612747,Los Angeles Lakers,W,35,0.457,16,0.75,51,33,18.0,6,16.0
2022-23,2023-03-06T00:00:00,22200976,1610612758,Sacramento Kings,W,38,0.421,20,0.65,33,39,11.0,7,15.0
2022-23,2022-11-12T00:00:00,22200184,1610612751,Brooklyn Nets,W,35,0.457,21,0.667,41,27,13.0,9,15.0
2022-23,2022-11-16T00:00:00,22200216,1610612749,Milwaukee Bucks,W,39,0.41,27,0.556,52,26,14.0,5,15.0
2022-23,2022-10-26T00:00:00,22200061,1610612741,Chicago Bulls,W,30,0.533,24,0.917,44,34,18.0,10,15.0
2022-23,2022-10-18T00:00:00,22200002,1610612744,Golden State Warriors,W,45,0.356,23,0.739,48,31,18.0,11,14.0
2022-23,2023-02-23T00:00:00,22200893,1610612747,Los Angeles Lakers,W,30,0.533,34,0.706,58,30,16.0,8,13.0
2022-23,2023-02-06T00:00:00,22200808,1610612738,Boston Celtics,W,37,0.432,21,0.81,51,25,12.0,2,12.0
2022-23,2022-11-20T00:00:00,22200243,1610612751,Brooklyn Nets,W,34,0.471,15,0.733,45,33,19.0,5,12.0
2022-23,2022-11-09T00:00:00,22200167,1610612756,Phoenix Suns,W,35,0.457,20,0.95,36,31,11.0,10,12.0
2022-23,2023-01-18T00:00:00,22200669,1610612764,Washington Wizards,W,42,0.381,19,0.842,52,28,14.0,5,11.0
2022-23,2022-12-09T00:00:00,22200381,1610612758,Sacramento Kings,W,33,0.485,32,0.625,38,21,19.0,11,11.0
2022-23,2023-01-02T00:00:00,22200552,1610612739,Cleveland Cavaliers,W,46,0.348,45,0.733,47,27,10.0,1,11.0
2022-23,2022-12-14T00:00:00,22200416,1610612753,Orlando Magic,W,36,0.444,30,0.833,46,28,14.0,10,11.0
2022-23,2022-12-02T00:00:00,22200330,1610612739,Cleveland Cavaliers,W,42,0.381,9,1.0,33,22,13.0,7,11.0
2022-23,2022-11-22T00:00:00,22200259,1610612756,Phoenix Suns,W,34,0.471,5,0.6,49,23,15.0,8,10.0
2022-23,2022-10-24T00:00:00,22200049,1610612763,Memphis Grizzlies,W,34,0.471,31,0.774,38,21,9.0,7,10.0
2022-23,2022-10-26T00:00:00,22200059,1610612761,Toronto Raptors,W,37,0.432,14,0.786,39,32,9.0,9,10.0
2022-23,2022-10-22T00:00:00,22200029,1610612754,Indiana Pacers,W,42,0.381,24,0.75,59,28,11.0,7,9.0
